Data published in District Resource Statement,Data as of,Borough,Community District,DRS Medicaid (MA) Only Enrollees,DRS Total Medicaid (MA) Enrollees,DRS Cash Assistance (CA) Recipients,DRS Cash Assistance (CA) Cases,DRS Total Supplemental Nutrition Assistance Program (SNAP)  Recipients,DRS Total Supplemental Nutrition Assistance Program (SNAP)  Households
FY 2019,10/31/2018,QUEENS,Q08,17119,24025,3119,1913,17232,10350
FY 2019,10/31/2018,QUEENS,Q09,18269,25512,3125,1879,21586,12337
FY 2019,10/31/2018,QUEENS,Q10,12976,18524,2497,1442,15844,9430
FY 2019,10/31/2018,QUEENS,Q11,10353,12610,751,507,6304,4288
FY 2019,10/31/2018,QUEENS,Q12,25994,44448,10145,5886,43300,25944
FY 2019,10/31/2018,QUEENS,Q13,15293,23024,3726,2310,18898,11962
FY 2019,10/31/2018,QUEENS,Q14,13055,29729,8201,3688,28651,15411
FY 2019,10/31/2018,STATEN ISLAND,S01,17773,37833,10975,5160,36803,19401
FY 2019,10/31/2018,STATEN ISLAND,S02,12267,18359,2343,1319,13796,8234
FY 2019,10/31/2018,STATEN ISLAND,S03,8888,12435,1214,747,9781,6215
FY 2020,10/31/2019,BRONX,B01,13614,37538,12642,6708,41647,22620
FY 2020,10/31/2019,BRONX,B02,6165,18517,6486,3345,20330,11248
FY 2020,10/31/2019,BRONX,B03,11745,34668,12487,6612,39127,21438
FY 2020,10/31/2019,BRONX,B04,18457,46573,15038,7820,51512,28822
FY 2020,10/31/2019,BRONX,B05,16137,44086,16044,8256,50447,27675
FY 2020,10/31/2019,BRONX,B06,9762,33149,13220,6628,36896,20018
FY 2020,10/31/2019,BRONX,B07,15986,38951,12647,6693,42216,24265
FY 2020,10/31/2019,BRONX,B08,8332,15745,3149,1671,15053,9105
FY 2020,10/31/2019,BRONX,B09,19644,45348,13313,6758,48769,27037
FY 2020,10/31/2019,BRONX,B10,8646,16697,3629,1915,16726,10284
FY 2020,10/31/2019,BRONX,B11,10986,22800,5528,2992,22165,13028
FY 2020,10/31/2019,BRONX,B12,12565,33577,12268,6132,34982,19260
FY 2020,10/31/2019,BROOKLYN,K01,32584,45503,6554,2513,49149,19483
